image_name,good,crack,corrossion
image_0.jpg,0.33,0.0,0.66
image_1.jpg,0.33,0.0,0.66
image_3.jpg,0.33,0.0,0.66
image_4.jpg,0.33,0.0,0.66
image_5.jpg,0.66,0.0,0.33
image_7.jpg,1.0,0.33,0.0
image_8.jpg,1.0,0.0,0.0
image_9.jpg,0.33,0.0,0.33
image_10.jpg,0.66,0.33,0.0
image_11.jpg,0.33,0.66,0.0
image_14.jpg,0.0,0.0,1.0
image_17.jpg,1.0,0.0,0.0
image_18.jpg,0.33,0.0,0.66
image_19.jpg,1.0,0.0,0.0
image_20.jpg,0.33,0.0,0.66
image_21.jpg,0.66,0.0,0.33
image_22.jpg,0.66,0.0,0.33
image_24.jpg,0.66,0.33,0.0
image_27.jpg,0.33,0.0,0.66
image_29.jpg,1.0,0.0,0.33
image_30.jpg,0.0,0.0,0.0
image_32.jpg,0.0,0.0,1.0
image_33.jpg,1.0,0.0,0.0
image_34.jpg,0.33,0.0,0.66
image_35.jpg,0.33,0.0,0.66
image_36.jpg,0.33,1.0,0.0
image_39.jpg,1.0,0.0,0.0
image_42.jpg,0.33,0.0,0.66
image_44.jpg,0.33,0.66,0.0
image_48.jpg,0.0,1.0,0.0
image_49.jpg,0.33,0.66,0.0
image_50.jpg,0.66,1.0,0.0
image_51.jpg,0.33,0.0,0.66
image_53.jpg,0.0,0.0,1.0
image_55.jpg,0.33,1.0,0.0
image_57.jpg,0.33,0.0,0.66
image_59.jpg,0.33,0.0,0.66
image_60.jpg,0.0,1.0,0.0
image_61.jpg,0.0,0.0,0.66
image_62.jpg,0.33,0.66,0.0
image_63.jpg,0.33,0.0,0.66
image_64.jpg,0.0,0.0,0.66
image_65.jpg,0.33,0.66,0.0
image_67.jpg,0.0,1.0,0.0
image_70.jpg,0.66,0.33,0.0
image_71.jpg,0.33,0.0,0.66
image_72.jpg,1.0,0.0,0.0
image_73.jpg,0.0,0.0,1.0
image_74.jpg,0.66,0.0,0.33
image_75.jpg,0.0,0.0,1.0
image_76.jpg,0.66,0.33,0.0
image_78.jpg,0.33,0.0,0.66
image_79.jpg,0.0,1.0,0.0
image_80.jpg,0.0,0.0,0.66
image_83.jpg,0.66,0.33,0.0
image_85.jpg,0.0,1.0,0.0
image_86.jpg,0.0,0.0,1.0
image_87.jpg,1.0,0.0,0.0
image_88.jpg,0.33,1.0,0.0
image_91.jpg,0.66,0.33,0.0
image_94.jpg,0.33,1.0,0.0
image_95.jpg,0.33,0.0,0.66
image_98.jpg,0.66,0.0,0.33
image_99.jpg,0.0,0.0,1.0
image_104.jpg,0.0,0.0,1.0
image_105.jpg,0.66,0.0,0.33
image_106.jpg,0.0,0.0,0.66
image_107.jpg,0.33,0.0,0.33
image_109.jpg,0.0,0.0,1.0
image_111.jpg,0.33,0.0,0.66
image_112.jpg,0.33,0.0,0.66
image_113.jpg,1.0,0.0,0.33
image_117.jpg,0.0,1.0,0.0
image_118.jpg,0.33,0.0,0.33
image_121.jpg,0.33,0.66,0.0
image_122.jpg,0.66,0.33,0.0
image_123.jpg,0.33,1.0,0.0
image_124.jpg,0.33,0.0,0.66
image_125.jpg,0.0,0.0,1.0
image_126.jpg,0.33,0.0,0.33
image_128.jpg,0.0,0.0,1.0
image_132.jpg,1.0,0.0,0.0
image_133.jpg,0.0,0.0,1.0
image_134.jpg,0.66,0.0,0.33
image_136.jpg,0.33,0.0,0.66
image_137.jpg,0.33,0.0,0.33
image_139.jpg,0.33,0.0,0.33
image_141.jpg,1.0,0.0,0.0
image_142.jpg,0.0,1.0,0.0
image_143.jpg,0.0,0.0,1.0
image_144.jpg,0.0,0.0,1.0
image_146.jpg,0.33,0.0,0.66
image_148.jpg,0.33,0.0,0.66
image_150.jpg,0.0,1.0,0.0
