x,y
90,71
437,71
780,71
1126,73
1470,68
1815,68
2160,63
98,421
438,421
779,419
1125,418
1467,416
1811,413
2153,413
100,763
437,763
779,761
1124,758
1468,758
1812,758
2153,756
98,1103
435,1101
777,1098
1122,1098
1467,1099
1813,1099
2154,1099
96,1444
433,1440
777,1440
1122,1440
1468,1440
1813,1441
2157,1444
93,1784
431,1781
777,1785
1121,1783
1468,1783
1813,1786
2155,1787
93,2127
430,2127
775,2129
1121,2129
1467,2128
1813,2129
2155,2130
92,2470
428,2470
773,2473
1120,2475
1467,2474
1812,2472
2158,2475
93,2809
432,2813
774,2815
1120,2815
1465,2818
1810,2818
2153,2818
95,3150
432,3151
773,3155
1119,3156
1464,3157
1808,3160
2152,3158
95,3487
432,3490
774,3498
1117,3496
1463,3498
1805,3500
2148,3501
98,3827
432,3829
774,3832
1117,3835
1459,3836
1805,3841
2147,3844
94,4173
432,4173
773,4173
1117,4178
1461,4180
1805,4183
2147,4190
