x,y
103,90
430,93
759,91
1088,93
1419,91
1751,88
2083,80
103,425
430,422
758,421
1089,419
1419,419
1751,420
2079,418
102,751
427,749
756,748
1088,747
1419,744
1752,745
2081,745
101,1080
425,1076
754,1076
1088,1074
1422,1073
1753,1074
2081,1074
97,1407
423,1406
754,1405
1087,1402
1421,1403
1754,1405
2082,1405
96,1736
419,1735
753,1735
1088,1735
1423,1735
1757,1736
2086,1736
92,2067
420,2067
753,2067
1086,2066
1422,2069
1757,2067
2083,2067
91,2397
419,2399
752,2399
1087,2402
1423,2402
1756,2401
2086,2400
94,2728
419,2729
753,2733
1087,2734
1421,2733
1756,2734
2085,2732
95,3058
420,3059
753,3062
1086,3064
1419,3064
1753,3063
2085,3062
95,3388
423,3388
753,3391
1086,3392
1418,3392
1752,3393
2080,3391
95,3715
421,3716
753,3717
1086,3720
1417,3720
1750,3723
2079,3725
91,4051
420,4049
754,4049
1086,4051
1417,4052
1752,4054
1752,4060
