x,y
81,72
416,74
749,75
1078,77
1409,77
1737,76
2063,76
88,400
414,400
747,403
1076,400
1407,402
1737,400
2061,402
89,729
416,729
746,728
1079,727
1411,727
1740,728
2063,730
87,1057
413,1057
746,1054
1079,1054
1412,1054
1743,1056
2070,1055
83,1388
412,1387
746,1386
1080,1385
1413,1384
1749,1384
2074,1385
83,1720
412,1718
747,1717
1083,1714
1416,1717
1750,1716
2078,1715
84,2057
414,2053
749,2051
1082,2048
1420,2050
1752,2047
2080,2046
84,2389
415,2385
750,2386
1086,2383
1421,2380
1754,2379
2081,2380
85,2720
416,2719
750,2718
1087,2716
1419,2715
1756,2713
2083,2711
90,3055
417,3052
753,3052
1087,3050
1422,3048
1757,3047
2083,3041
90,3385
418,3387
754,3382
1089,3381
1424,3378
1757,3375
2083,3373
90,3723
422,3718
757,3716
1089,3710
1424,3709
1758,3706
2086,3707
87,4061
420,4054
758,4046
1093,4043
1425,4044
1759,4037
2090,4040
