x,y
101,79
435,84
776,88
1110,90
1446,94
1784,94
2114,96
103,416
435,420
773,421
1109,425
1445,428
1779,429
2109,430
102,751
434,753
771,754
1108,757
1445,759
1779,761
2108,766
99,1086
432,1086
768,1086
1105,1089
1443,1090
1779,1092
2110,1097
97,1422
433,1421
768,1422
1105,1422
1444,1426
1779,1427
2110,1428
95,1757
427,1758
766,1758
1105,1759
1443,1760
1782,1761
2111,1765
93,2093
427,2095
765,2096
1104,2097
1441,2096
1779,2097
2109,2096
92,2430
426,2429
764,2432
1103,2432
1442,2432
1778,2430
2108,2433
95,2765
428,2765
764,2765
1103,2767
1441,2766
1778,2765
2108,2765
95,3098
427,3099
764,3099
1101,3102
1439,3101
1776,3098
2103,3097
95,3431
428,3432
764,3432
1099,3432
1437,3429
1773,3427
2099,3427
95,3765
428,3765
764,3764
1099,3762
1435,3761
1772,3759
2098,3759
93,4099
428,4101
764,4098
1097,4092
1434,4091
1772,4091
2103,4092
