x,y
92,104
473,109
860,107
1245,104
1634,104
2021,97
2407,94
94,494
476,493
863,491
1249,486
1632,486
2020,483
2406,484
100,876
477,876
863,876
1248,871
1633,871
2021,872
2405,872
96,1264
477,1264
865,1262
1248,1261
1633,1258
2022,1258
2407,1256
100,1650
477,1648
863,1647
1251,1647
1635,1645
2021,1645
2408,1644
105,2032
480,2035
865,2035
1249,2034
1635,2032
2022,2030
2402,2031
106,2415
483,2415
868,2417
1252,2418
1635,2417
2021,2417
2402,2414
111,2797
488,2800
871,2798
1251,2800
1633,2801
2018,2801
2398,2797
118,3172
492,3175
871,3175
1252,3180
1635,3180
2016,3175
2395,3178
120,3552
495,3554
874,3555
1253,3555
1633,3555
2015,3560
2395,3560
121,3926
498,3922
875,3923
1253,3928
1636,3923
2018,3931
2395,3938
