x,y
82,98
407,98
741,102
1070,98
1406,97
1737,98
2070,95
85,427
410,425
742,420
1071,420
1406,420
1737,420
84,752
410,751
742,744
1073,742
1406,744
1740,746
2065,747
82,1076
409,1074
741,1070
1073,1066
1406,1068
1740,1068
2069,1070
81,1402
409,1399
739,1395
1074,1391
1408,1392
1742,1392
2073,1392
81,1728
409,1726
741,1723
1076,1721
1408,1720
1744,1720
2070,1721
82,2056
82,2056
406,2055
741,2052
1076,2049
1410,2051
1744,2048
2076,2048
82,2386
407,2383
741,2380
1077,2379
1410,2377
1744,2377
2074,2377
84,2713
409,2711
742,2711
1077,2707
1410,2705
1744,2707
2073,2703
85,3036
411,3035
745,3036
1077,3037
1410,3032
1742,3031
2072,3031
85,3364
414,3364
745,3360
1078,3363
1409,3359
1744,3359
2072,3357
89,3693
414,3689
746,3687
1080,3687
1410,3685
1744,3684
2072,3682
92,4023
417,4019
750,4017
1082,4010
1410,4009
1746,4015
2074,4015
