x,y
78,85
417,89
755,89
1094,80
1430,80
1773,76
2111,71
86,427
421,424
757,419
1095,420
1432,414
1770,413
2105,414
84,763
421,756
757,756
1095,753
1436,749
1773,748
2108,750
84,1096
418,1092
758,1088
1096,1084
1438,1084
1776,1080
2110,1086
84,1431
420,1427
757,1424
1099,1422
1439,1419
1779,1419
2114,1421
82,1770
421,1763
758,1762
1100,1761
1441,1760
1780,1758
2120,1758
83,2104
422,2101
758,2101
1101,2098
1444,2096
1783,2096
2122,2096
87,2444
423,2437
758,2440
1100,2439
1444,2436
1785,2436
2127,2435
90,2780
427,2780
761,2780
1101,2778
1445,2778
1787,2776
2123,2772
91,3116
428,3118
766,3116
1105,3118
1446,3114
1788,3113
2127,3111
93,3457
432,3452
769,3452
1106,3452
1448,3450
1789,3450
2127,3449
95,3790
430,3789
769,3789
1109,3787
1448,3788
1789,3784
2128,3788
90,4132
431,4129
771,4126
1111,4126
1451,4124
1792,4127
2133,4131
