x,y
107,52
44,57
781,52
1120,54
1458,52
1802,46
2143,37
109,398
444,395
780,393
1119,391
1457,387
1797,389
2137,385
109,731
442,728
778,727
1116,725
1457,723
1797,724
2136,724
106,1063
438,1061
777,1059
1116,1058
1456,1058
1796,1060
2136,1060
104,1397
435,1395
773,1395
1114,1394
1456,1394
1799,1395
2138,1397
99,1733
432,1731
771,1732
1113,1731
1455,1732
1797,1733
2139,1739
98,2068
430,2069
768,2069
1112,2071
1452,2072
1797,2072
2138,2074
96,2405
429,2408
768,2409
1110,2411
1451,2411
1794,2414
2134,2415
96,2741
427,2744
767,2746
1108,2750
1449,2751
1793,2752
2133,2754
96,3074
427,3079
766,3082
1106,3088
1448,3090
1791,3091
2132,3093
95,3409
426,3413
763,3418
1103,3424
1444,3427
1786,3428
2127,3432
94,3742
426,3748
762,3752
1101,3759
1442,3763
1784,3766
2122,3771
89,4087
424,4089
760,4091
1099,4096
1439,4101
1784,4111
2128,4116
